Title,Type,Option1 Value,Option2 Value,Variant SKU,Variant Price
*New* Bombay Bamboo Bath Towel Collection,BATH TOWEL,Bombay Dew,Bath,BT-1497-T10-839,32
,,Bombay Dew,Hand,HT-1497-T10-839,18
,,Bombay Dew,Wash,WT-1497-T10-839,11
,,Bombay White,Bath,BT-1497-T10-100,32
,,Bombay White,Hand,HT-1497-T10-100,18
,,Bombay White,Wash,WT-1497-T10-100,11
,,Bombay Nude,Bath,BT-1497-T10-431,32
,,Bombay Nude,Hand,HT-1497-T10-431,18
,,Bombay Nude,Wash,WT-1497-T10-431,11
,,Bombay Mist,Bath,BT-1497-T10-250,32
,,Bombay Mist,Hand,HT-1497-T10-250,18
,,Bombay Mist,Wash,WT-1497-T10-250,11
,,Bombay Chenille,Bath,BT-1497-T10-449,32
,,Bombay Chenille,Hand,HT-1497-T10-449,18
,,Bombay Chenille,Wash,WT-1497-T10-449,11
Santiago Bath Towel,Solids,White with White,Bath,BT-1322-T1-100,32
,,White with White,Hand,HT-1322-T1-100,18
,,White with White,Tip,WT-1322-T1-100,15
*New* Pineapple Bath Towel Collection,BATH TOWELS,Pineapple Mimosa,Bath,BT1422T11026,32
,,Pineapple Mimosa,Hand,HT1422T11026,18
,,Pineapple Mimosa,Wash,TT1422T11026,11
,,Pineapple Turquoise,Bath,BT1422T1801,32
,,Pineapple Turquoise,Hand,HT1422T1801,18
,,Pineapple Turquoise,Wash,TT1422T1801,11
*New* Santorini Bath Towel Collection,BATH TOWELS,Santorini Grey,Bath,BT1496T1110,32
,,Santorini Grey,Hand,HT1496T1110,18
,,Santorini Grey,Wash,WT1496T1110,11
,,Santorini White,Bath,BT1496T4100,32
,,Santorini White,Hand,HT1496T4100,18
,,Santorini White,Wash,WT1496T4100,11
*New* Macedonia Bath Towel Collection,BATH TOWELS,Macedonia Blue,Bath,BT1495T4111,32
,,Macedonia Blue,Hand,HT1495T4111,18
,,Macedonia Blue,Wash,WT1495T4111,11
,,Macedonia White,Bath,BT1495T4100,32
,,Macedonia White,Hand,HT1495T4100,18
,,Macedonia White,Wash,WT1495T4100,11
*New* Sahara Bath Towel Collection,BATH TOWELS,Sahara Blue,Bath,BT1494T4111,32
,,Sahara Blue,Hand,HT1494T4111,18
,,Sahara Blue,Wash,WT1494T4111,11
,,Sahara Grey,Bath,BT1494T4203,32
,,Sahara Grey,Hand,HT1494T4203,18
,,Sahara Grey,Wash,WT1494T4203,11
*New* Stand Up Stripe Bath Towel Collection,BATH TOWELS,Stand Up Stripe,Bath,BT1492T1111,32
,,Stand Up Stripe,Hand,HT1492T1111,18
,,Stand Up Stripe,Wash,WT1492T1111,11
*New* Lexi Bath Towel Collection,BATH TOWELS,Lexi Eggshell,Bath,BT1434T1356,32
,,Lexi Eggshell,Hand,HT1434T1356,18
,,Lexi Eggshell,Wash,WT1434T1356,15
,,Lexi Beige,Bath,BT1434T1434,32
,,Lexi Beige,Hand,HT1434T1434,18
,,Lexi Beige,Wash,WT1434T1434,15
MICROCOTTON AERTEX 6PC BATH TOWEL SET,BATH TOWEL SET,Linen,6pc Set,16250STO10,140
,,White,6pc Set,16250STW01,140
,,Blue Dusk,6pc Set,16250STB91,140
,,Paprika,6pc Set,16250STE85,140
,,Bamboo,6pc Set,16250STG40,140
,,Moss,6pc Set,16250STG70,140
,,Steel,6pc Set,16250STK65,140
,,Cameo,6pc Set,16250STN10,140
,,Chocolate,6pc Set,16250STO90,140
,,Eggplant,6pc Set,16250STV75,140
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
RUGBY STRIPE 6PC BATH TOWEL SET,BATH TOWEL SET,Turquoise Stripe,6pc Set,6PC-1075-T1-801,140
,,Nickel Stripe,6pc Set,6PC-1075-T1-205,140
,,,,,
,,,,,
,,,,,
,,,,,
JAY STRIPE 6PC BATH TOWEL SET,BATH TOWEL SET,Coral Stripe,6pc Set,6PC-1464-T1-1003,140
,,,,,
,,,,,
KARISSA STRIPE 6PC BATH TOWEL SET,BATH TOWEL SET,Pastel Stripe,6pc Set,6PC-1128-T1-1007,140
,,,,,
,,,,,
CARLYLE STRIPE 6PC BATH TOWEL SET,BATH TOWEL SET,Mineral Stripe,6pc Set,6PC-1025-T1-302,140
,,,,,
,,,,,
MAGGIE 6PC BATH TOWEL SET,BATH TOWEL SET,White/Caviar,6pc Set,6SOS-1413-T4-129,140
,,Stone,6pc Set,6SOS-1413-T4-231,140
,,Denim,6pc Set,6SOS-1413-T4-341,140
,,Fresh Air,6pc Set,6SOS-1413-T4-398,140
,,,,,
,,,,,
,,,,,
,,,,,
WESTPORT 6PC BATH TOWEL SET,BATH TOWEL SET,White,6pc Set,6PC-1480-T9-100,140
